img,x,y,z,dis
85,1.8765,-6.7436,3.1829,6.999813798237779
23,3.7093,5.9362,2.1794,6.999812635349607
5,4.1131,-5.6639,3.3421,6.999811056021441
98,4.0688,5.6958,0.5128,6.999805074428859
81,6.6634,2.1439,1.9137,6.9998004807280045
89,-2.2171,-6.6394,1.4167,6.999797480641851
1,3.4398,-6.0963,6.6346,6.9997926919302405
45,6.1717,-3.3026,-4.793,6.999789114680527
85,2.5632,6.5136,-5.1244,6.999784225245804
84,-1.4888,-6.8396,-1.5154,6.999760967347385
61,1.2133,6.8938,-4.969,6.999755376439951
94,-3.8137,-5.8696,-3.5819,6.999750841994306
43,-5.7335,4.0154,-5.2752,6.999747096145689
62,6.9411,-0.9042,1.6503,6.999746198970359
13,4.5535,-5.3162,-3.8398,6.999738901559114
64,-6.8219,-1.5678,3.2585,6.9997368843407255
43,4.4041,-5.4406,3.3907,6.999730364092605
30,-5.5904,-4.2123,6.23,6.999717383580569
64,0.5432,6.9786,2.1075,6.9997088653743305
52,1.5086,6.8352,6.7434,6.9997023508146405
49,-6.9993,0.074,2.5118,6.99969117104462
57,-0.4043,6.988,4.0812,6.999685885095131
7,-1.0149,6.9257,3.629,6.999667313522837
25,-3.6342,-5.9823,-2.0061,6.999665915599116
73,-6.8521,-1.4297,3.9079,6.999665456291465
2,6.937,0.9345,-4.3626,6.999661366809112
7,-6.8737,1.3219,1.2764,6.999655084359515
72,0.6586,-6.9686,1.0179,6.999652842820135
40,3.9956,5.7472,6.1588,6.999651934203587
24,-2.4646,-6.5514,6.3461,6.999649642660695
69,0.1014,-6.9989,-4.4277,6.999634502600832
28,-3.3181,-6.1632,6.5965,6.999630122370752
89,4.8056,5.0893,5.8718,6.999626122158239
6,-5.6455,4.138,1.7788,6.999622436246115
52,1.7259,6.7835,3.4048,6.999614493670348
98,3.1699,6.2407,5.8631,6.999614453668145
58,4.0848,-5.6841,2.9503,6.999613121451785
66,-0.9861,6.9298,0.7813,6.999608649774643
79,0.0641,-6.9993,3.2544,6.999593509626113
9,-2.6911,-6.4616,-4.8421,6.9995924002758905
20,1.4675,-6.844,-3.0588,6.999563718547035
11,4.6485,5.2331,6.0521,6.999563404956055
2,2.496,-6.5394,-0.0603,6.999554868704152
13,-6.9455,0.8682,2.7761,6.999552949296119
58,2.6845,-6.4643,3.8962,6.999551038459538
62,5.979,3.6394,-4.0458,6.9995480825550445
71,0.0257,-6.9995,3.5476,6.999547181068215
14,2.2067,-6.6426,-2.332,6.9995471032060355
88,-5.3464,4.5177,-3.0829,6.999543288672483
14,-5.6022,4.1963,-1.5748,6.9995413085430105
28,1.0717,-6.917,4.6226,6.999530690696341
53,6.9278,-0.9995,-5.7019,6.99952949061578
34,-6.9781,-0.5471,0.5607,6.999514127423417
59,-2.5428,6.5213,6.6296,6.999513235218575
1,6.9538,-0.7986,-2.9842,6.999506868344369
6,-6.1702,-3.3048,-2.1029,6.99950505964529
69,2.3161,6.6052,4.5381,6.999498999928495
7,6.9979,-0.1494,-1.4941,6.9994946081842215
39,-6.9289,-0.9915,-4.208,6.999480513580989
99,-5.6241,-4.1668,-2.2017,6.999480198557605
35,4.8004,5.094,-0.8308,6.999476849022361
59,1.6746,-6.7962,-1.5425,6.999472808719239
35,3.2724,-6.1874,-2.2212,6.999465731039763
46,-2.1108,-6.6736,1.0051,6.999458093309796
79,6.953,0.8051,-2.7346,6.9994567653497235
20,-4.1322,5.6495,-2.5854,6.999423339818788
10,-2.9212,6.3607,4.8026,6.999422399741281
34,5.9054,-3.7574,-4.2383,6.999414541231288
93,6.8533,1.4227,6.7057,6.9994139883278805
54,-5.6878,4.0793,3.604,6.999411213094999
38,-4.8883,5.0096,2.2337,6.999397763379361
87,-4.853,-5.0438,5.8263,6.999394790980146
72,-2.7736,-6.4264,-3.7893,6.999390967791412
35,0.6197,6.9719,-0.8738,6.999386951726558
62,6.8572,1.4036,5.8477,6.999377458031535
70,-2.8461,6.3946,0.5586,6.9993709981683345
14,1.9405,6.725,3.5434,6.999368917981106
2,-1.1973,6.8962,3.0163,6.999364380427697
87,2.9565,6.3443,-1.6345,6.99935959499153
37,-2.9483,6.3481,-2.3359,6.999346148034115
44,-6.2349,-3.1807,4.451,6.999345005070117
6,1.0941,6.9133,1.9363,6.999340804675822
91,1.4233,-6.8531,-3.5524,6.999340147471046
22,-6.685,2.074,2.4386,6.999335754198394
69,6.7155,-1.973,1.2879,6.999333486125661
12,-5.7397,4.0058,5.5179,6.9993278055824755
88,1.9445,-6.7238,6.4853,6.999326159709947
25,-2.1383,6.6647,6.7709,6.999325180329887
81,-1.4447,-6.8486,-4.5923,6.999319970539996
0,4.8739,5.0235,5.2342,6.999318071069495
63,6.8701,-1.3387,-0.7021,6.9993136592097365
82,-6.4037,2.8254,-3.3669,6.999304168987085
80,5.7793,3.9484,-4.1083,6.999297896932235
38,0.1178,6.9983,-4.8163,6.999291373417741
87,-6.9418,0.8952,5.4407,6.99928355476473
76,-6.1267,3.3843,-5.5631,6.999281347395602
20,-5.4836,4.3497,6.8114,6.999268465346932
68,4.8731,5.0242,6.393,6.999263479109785
94,-2.1502,6.6608,-5.8024,6.999258294990978
74,-1.8443,6.7519,4.2711,6.999256824835048
96,-2.1246,6.669,-1.8457,6.999248971139688
61,0.565,6.9764,5.8648,6.99924152747996
33,0.6975,6.9644,3.1377,6.999240930986731
25,6.8727,1.3249,-5.764,6.999240337350904
52,-4.0012,5.7428,1.0186,6.9992394786862375
26,1.4734,-6.8424,5.2086,6.999238910053006
59,3.0162,-6.316,2.575,6.999236989843964
69,-2.3953,6.5766,-0.3978,6.999223503360927
86,-2.8347,6.3995,1.0147,6.999223124033123
41,5.2748,-4.6006,-2.7823,6.999216770467965
86,-3.1062,-6.2722,5.0165,6.999212189953952
9,-6.2379,-3.1745,-4.501,6.999203287517801
4,6.998,-0.1297,3.7731,6.9992018180646856
26,0.3587,6.99,1.9344,6.999197503285645
76,0.9007,6.941,0.996,6.999195774515813
56,2.0149,-6.7029,-5.5145,6.99919212623857
82,-2.4683,6.5495,-5.2679,6.9991753185643235
49,6.9902,0.3543,-3.0953,6.999173131877793
2,-6.2873,3.0754,-4.6195,6.999158981620578
70,2.0721,6.6854,-4.1182,6.9991550611484525
45,6.5575,-2.4469,4.6028,6.99915179575354
73,-3.5395,6.0382,5.9732,6.999137053237349
67,-3.2422,6.2029,2.4279,6.99913060672538
42,6.9163,1.0736,6.1662,6.999130135238235
58,-0.8219,6.9507,-5.6478,6.999124952449414
3,6.9559,-0.7766,-0.502,6.999117970858899
29,0.7603,-6.9577,3.1871,6.999117471510247
85,1.2852,6.8801,1.3238,6.99910816104452
14,3.1997,6.2249,-0.2625,6.999104235543288
65,-2.9128,-6.3642,-5.7878,6.999103191123846
66,5.5745,-4.2323,-0.4454,6.9991009094025785
19,-3.3401,-6.1507,-1.0967,6.999098406223475
54,-5.7509,-3.9893,-5.4691,6.999097463244815
29,-6.9853,0.4392,0.1228,6.999093707759598
8,6.1931,3.2608,-5.9129,6.999093101966855
61,-6.8366,1.4994,-4.5873,6.999092792641058
5,-5.6683,-4.1058,-2.8449,6.999086978313672
68,6.4365,-2.7493,-4.7211,6.99908442155115
25,0.8053,6.9526,-2.7305,6.99908242914741
11,-2.4121,-6.5703,0.5811,6.999076260478949
28,-2.581,6.5058,0.3158,6.999070984066385
12,-6.372,-2.8956,2.4752,6.9990630344353955
91,-3.4688,6.079,6.5184,6.999058110917496
68,-2.7504,6.436,6.2345,6.999056805027374
42,1.8406,6.7527,4.7383,6.99905462544764
97,2.7553,6.4339,3.5172,6.999053314556191
24,3.9197,5.7985,3.3812,6.9990463879017115
87,5.3355,4.5298,2.9074,6.999046241453188
88,-6.4326,2.7583,5.1341,6.999040052035707
78,4.9625,4.9356,-4.7777,6.999039477671204
53,3.5203,-6.0493,6.6685,6.999038689705894
72,-1.884,-6.7407,-3.6816,6.999035111356422
28,6.557,2.4479,2.5529,6.999033033926901
13,-5.348,4.515,-4.7036,6.999023431879622
50,2.0858,6.681,-2.9238,6.999022977530507
34,1.8,6.7636,0.2227,6.99902028572571
61,-6.5296,2.52,6.5843,6.999005369336418
53,-6.3989,-2.8355,3.214,6.998998604086159
42,-2.4424,-6.559,4.6446,6.998985552206834
69,3.4209,-6.106,-3.962,6.99898512714522
31,4.2844,5.5344,1.6012,6.998976119404895
38,0.397,6.9877,-1.5069,6.99896851614579
59,-6.2945,3.0602,-4.4519,6.998968087511187
28,4.9999,-4.8976,1.1585,6.998963192502158
30,-6.9097,-1.1142,3.2901,6.998956760117896
53,0.6638,6.9674,1.8225,6.998949435451009
79,5.5242,4.2975,-5.0595,6.9989493418655355
64,-3.1319,-6.2591,-0.1673,6.9989378065532195
71,4.0835,5.6842,5.36,6.998935768386505
34,6.7555,1.8298,4.5193,6.998924795281058
62,-6.8428,-1.47,-1.3437,6.998915047348411
64,-2.3432,6.595,-2.4839,6.998900716541134
37,6.3558,-2.9306,4.4253,6.998900627955794
54,-5.7651,-3.9684,-4.3685,6.998898239723164
8,-6.3846,2.8673,5.3096,6.998894659158688
1,4.555,5.3138,-2.4388,6.998892443808519
52,-2.0955,6.6778,1.8074,6.998866557522011
9,5.4784,-4.3556,2.9428,6.998865473775017
95,-2.1894,6.6476,1.9549,6.998861201652738
12,6.7847,1.7181,4.0493,6.998858599800399
43,2.1833,-6.6496,0.0816,6.998855552874342
85,6.6181,2.277,-4.3071,6.998855378560125
94,-0.5254,-6.9791,4.3286,6.998848617451301
44,-4.2637,5.5502,4.7743,6.998846885737679
43,-1.7251,6.7829,1.7206,6.998835790329703
34,-0.7475,-6.9588,3.0773,6.998832309035558
81,6.7918,1.6897,-0.3126,6.998830854507059
97,1.8703,-6.7443,-3.9756,6.998828800592282
86,2.1144,6.6718,5.6878,6.998828659140043
1,-1.8918,-6.7383,4.6354,6.9988280540387615
64,-1.0234,6.9236,5.4219,6.998827367495215
50,6.8594,1.39,1.7747,6.9988190689572765
42,-0.9938,6.9279,4.0095,6.998816817862859
64,2.75,-6.4359,3.5224,6.998807670596471
5,2.5352,6.5235,-3.63,6.998806418954592
4,-3.4574,6.0852,3.5745,6.9988051694557125
82,5.0876,-4.8062,-3.7657,6.99880219751923
69,-6.4444,2.73,-1.2236,6.998799279876513
2,-6.309,3.0298,-1.1176,6.998797685317101
23,-2.3932,6.5769,-5.7425,6.998787027049759
53,6.8159,1.5895,-2.8021,6.998785827556091
80,-6.5221,2.5387,6.047,6.998770327707575
23,-3.6186,-5.9907,6.2272,6.998767923713431
28,-4.6864,-5.1981,2.5414,6.9987562159286565
65,-5.8912,3.7784,1.7405,6.998753031790735
90,-0.2981,6.9924,-5.9662,6.9987514150739765
74,5.6127,-4.1809,-3.4272,6.998737464714619
9,2.3172,-6.604,3.4105,6.9987307306396636
85,-5.3,-4.5708,5.7051,6.9987293589622395
56,-2.6476,-6.4786,3.0967,6.998717291046981
92,-4.0464,5.7104,1.874,6.998715676465219
84,5.5521,4.261,-0.8379,6.998709553196218
71,3.5504,6.0313,-3.0708,6.998708441562629
36,-0.3797,-6.9884,1.3781,6.9987074985314255
67,0.3994,6.9873,-4.0761,6.998705712487132
42,6.9635,-0.7011,0.615,6.998705127378921
76,-0.6108,-6.972,6.302,6.998704211495154
35,-6.5352,-2.5046,4.8128,6.998704180060763
70,6.7159,-1.9694,-0.2113,6.9987033920577035
1,-0.2306,6.9949,3.758,6.998700048580451
45,0.0982,6.998,2.5332,6.998688965799238
12,-4.3308,-5.4978,-2.7942,6.998687982757911
24,5.9747,3.6448,2.4071,6.9986861002619625
36,6.3884,-2.8583,5.2597,6.998680836414817
90,6.9948,-0.2326,-0.4817,6.998666287229303
53,0.7752,6.9556,0.1666,6.998664615482013
26,-1.8657,-6.7454,2.7821,6.9986611326738775
68,3.2154,-6.2163,1.8147,6.998655788792588
70,-0.7998,6.9528,-0.2715,6.99865043276202
93,-6.7554,-1.8291,-0.6374,6.998645295341092
1,6.5108,2.5672,-1.8496,6.99864504600712
60,-2.1062,6.6742,2.1357,6.998644445890933
41,-6.7785,-1.7415,5.6514,6.998634473952758
92,-1.9551,-6.72,-1.317,6.9986295808536685
97,0.495,-6.9811,5.0119,6.99862716609479
77,5.5248,-4.2962,-5.3793,6.998624827778669
56,0.1133,6.9977,3.6234,6.9986171619827875
39,-6.1082,-3.4162,-2.4948,6.998609124676131
51,6.9092,-1.1151,1.918,6.9986064791499745
92,-6.0795,3.467,4.3613,6.99860052081843
4,2.0105,-6.7036,-3.1807,6.998597231588628
12,5.6158,4.1765,-2.5813,6.998597137284015
55,-6.9953,0.2144,2.1605,6.998584817661354
43,-6.8392,1.4851,3.9487,6.998584046076749
87,6.9847,0.4406,-1.2275,6.9985828886996835
37,-1.7771,6.7692,1.9227,6.998582217135125
89,6.9761,0.5605,-2.8336,6.998580674679688
13,2.852,-6.3911,-5.8852,6.99857579868933
66,-3.8223,5.8626,3.3865,6.998575287156665
95,-6.8017,1.6483,3.3864,6.998572410141943
82,6.8278,1.5366,-1.889,6.9985707398010915
31,6.9793,-0.519,-0.8451,6.998570531901497
5,6.9563,-0.768,5.1609,6.998566545371988
11,-6.9353,-0.9389,-1.4707,6.998565517304242
59,4.0467,-5.71,1.7382,6.998562773169931
27,-1.5436,-6.8262,-0.2666,6.998550378471244
79,6.9446,-0.8673,1.4092,6.998548310185478
52,6.9985,0.0256,-2.147,6.99854682130512
32,5.3838,-4.4715,0.3226,6.998543754953597
9,0.4838,-6.9818,4.1559,6.9985422539268844
95,1.825,-6.7564,-1.6163,6.998540273514185
4,-2.0106,6.7035,-2.2169,6.998530174972457
58,1.4193,6.8531,1.1704,6.99852785234152
71,-5.421,-4.4263,0.466,6.9985264656211745
24,6.6055,2.3123,3.0529,6.99852566902487
48,2.3731,6.5839,-4.6794,6.998524331600198
94,-6.6479,-2.1874,-0.7546,6.998520784422948
81,-3.7631,-5.9007,4.0863,6.998512849170171
46,-6.9884,-0.3758,-4.6761,6.998496995784167
16,-1.4694,6.8425,-3.7027,6.998495739085651
1,-6.8887,1.2348,2.9307,6.998494033004529
26,-6.588,-2.3616,-5.0146,6.998492591980076
39,-5.8578,-3.8295,2.37,6.9984920582937
1,-4.866,5.03,4.1337,6.998489551324629
97,6.9221,1.0312,-0.4036,6.998488540392133
36,-4.5106,-5.351,-3.2442,6.998479360546832
59,-1.5556,6.8234,4.1488,6.998476900011888
81,6.9965,0.1658,1.6993,6.998464252248489
46,-2.1314,6.666,-3.5587,6.9984585417075955
77,3.4019,6.116,-5.5863,6.998455516040663
33,0.375,6.9884,6.7874,6.998454083581603
30,4.954,-4.9433,-5.5042,6.9984520352718
11,-5.8661,-3.8167,5.9943,6.998451835942004
43,2.4406,-6.5591,-4.3979,6.998451340832484
10,-2.3726,-6.584,-3.1417,6.9984488824310205
99,0.8161,-6.9507,5.5023,6.998446234700957
4,-0.5173,-6.9793,3.1353,6.998444668638883
60,4.1319,-5.6485,5.3141,6.998439101685461
99,6.5944,-2.3435,2.3923,6.99843579737644
10,2.5511,6.5169,3.4086,6.998435312268021
34,-2.9271,6.3569,-4.1359,6.998434969334216
68,-3.3751,-6.1308,-1.8314,6.998429012999989
39,-1.092,6.9127,-3.9019,6.998420199587905
49,-6.4464,-2.7243,1.9266,6.998420068129663
42,5.7757,-3.9521,0.9656,6.998414456146477
16,6.9912,-0.3176,5.2829,6.998410333782951
37,-3.5056,6.0571,6.9194,6.9984063735967785
17,-0.4263,6.9854,-0.2184,6.998395876913509
51,-3.4412,-6.0939,0.434,6.998390861476658
45,-5.256,4.6208,6.8975,6.998380429785166
96,5.8591,3.8273,-4.5281,6.998376818948805
1,1.2903,-6.8784,3.0283,6.99837557223103
97,-0.5095,-6.9798,4.928,6.998371116909992
85,-6.7215,1.949,4.5576,6.998368613469856
47,6.5219,-2.5381,-3.0248,6.998366325079017
63,4.1918,5.6041,5.8481,6.998365812816589
39,0.2913,-6.9923,-0.2353,6.998365164808136
49,-5.8963,-3.7697,2.8712,6.9983563627468985
49,3.6115,-5.9945,2.3807,6.998354270826821
76,-0.305,6.9917,4.5254,6.998349368958368
41,-6.9648,-0.6844,-1.4529,6.9983456902328
35,-6.9797,-0.5105,0.7263,6.998344257036803
2,6.9178,1.0587,-4.2984,6.998342841701884
59,-6.7595,-1.8127,-0.3023,6.998337055329644
37,6.3751,-2.887,-2.0029,6.998333302294197
20,-6.9937,-0.2545,3.7505,6.9983290820023605
51,-6.6312,-2.2369,-3.1152,6.998323731437408
18,0.7978,-6.9527,-2.7796,6.998322808359157
74,6.8753,1.3064,4.7447,6.998316301082712
77,-2.982,-6.3312,3.9005,6.998315328705902
96,6.6371,-2.2193,5.8596,6.998313289643441
84,6.6796,-2.0879,4.5659,6.9983128373915955
5,5.1753,-4.7109,4.0179,6.9983075739781535
43,4.8508,5.0444,-4.2811,6.998302079790497
60,1.8712,6.7435,1.4235,6.998298485346277
64,0.6049,-6.9721,4.4514,6.998291392904414
34,-3.0946,-6.2769,-0.3904,6.998287131148593
17,-1.34,-6.8688,-5.2799,6.998286464556878
43,6.207,3.2325,0.8318,6.998278734803295
90,5.3599,-4.4997,-1.4561,6.998273222731448
99,-2.795,6.4159,5.9943,6.998271058625837
86,1.2977,-6.8769,5.98,6.998269707577724
26,-6.2483,-3.1519,5.8383,6.998265963794174
30,-3.1085,-6.27,-4.3502,6.998262087832949
65,2.5091,-6.533,-1.2524,6.998262056396574
66,-1.4923,6.8373,3.8198,6.998259110664595
55,-3.7209,-5.9271,-0.5673,6.998257727463315
3,6.9675,-0.6553,6.4144,6.998247947879527
10,0.7172,-6.9614,3.8572,6.998247337726783
53,0.9125,6.9385,0.4524,6.998245387238147
38,-3.3827,-6.1264,-4.7161,6.998245226483565
73,3.2506,6.1975,6.7906,6.9982431088095245
5,4.4047,5.4382,5.5623,6.998242731571977
76,4.1373,5.6443,-3.6874,6.9982407632204255
78,5.3209,4.5457,0.3823,6.998240157353847
69,-0.3536,-6.9893,-1.4452,6.998238882033108
15,-2.1758,-6.6514,-4.1898,6.998230319159266
33,5.6238,-4.1651,-2.5317,6.998227236236331
45,2.7024,6.4554,6.8043,6.998225126415983
74,-6.9258,-1.0042,-2.0489,6.9982228658424415
24,-2.3874,-6.5784,-0.8492,6.998215866919225
6,-4.5425,-5.3236,1.6211,6.998215716166515
0,6.9857,0.4183,4.6566,6.998212584653312
72,-6.948,-0.8368,4.5097,6.998209645330726
96,4.5078,-5.353,2.8362,6.998204758364819
